"name","enabled","OperatingSystem"
"sccm","False","Windows Server 2016 Standard"
"FSH02","True","Windows Server 2016 Standard"
"AAAHCPC3","True","Windows 7 Professional"
"AS303PC2W17","True","Windows 10 Enterprise"
"cmsb4906w15","True",
"WH411PC1W17","True","Windows 10 Enterprise"
"CSMB4906W17","True","Windows 10 Enterprise"
"CSGC914W17","True","Windows 10 Enterprise"
"CSBK58W715","True","Windows 7 Enterprise"
"AD474IW18","True","Windows 10 Enterprise"
"AI347DW18","True","Windows 10 Enterprise"
"PCSTUDENT2W18","False","Windows 10 Enterprise"
"AD474KW18","True","Windows 10 Enterprise"
"ADMIN474FW18","True","Windows 10 Enterprise"
"PC3FD1W18","True","Windows 10 Enterprise"
"WH412W18","True","Windows 10 Enterprise"
"PCROGB32W18","True","Windows 10 Enterprise"
"PC3FD2W18","True","Windows 10 Enterprise"
"PC3FD3W18","True","Windows 10 Enterprise"
"FSM01","True","Windows Server 2016 Standard"
"fsm02","True","Windows Server 2016 Standard"
"PC4FD3W18","False","Windows 10 Enterprise"
"MR1W18","True","Windows 10 Enterprise"
"MR2W18","True","Windows 10 Enterprise"
"MCPANTRYW20","False","Windows 10 Enterprise"
"RX1W18","False","Windows 10 Enterprise"
"CS4FD2W18","True","Windows 10 Enterprise"
"WHFD1W18","True","Windows 10 Enterprise"
"WHFD2W18","True","Windows 10 Enterprise"
"CS4FD3W18","True","Windows 10 Enterprise"
"CS4FD1W18","True","Windows 10 Enterprise"
"ALFD2W18","True","Windows 10 Enterprise"
"CS4FD4W18","True","Windows 10 Enterprise"
"ALFD1W18","True","Windows 10 Enterprise"
"PTFD2W18","False","Windows 10 Enterprise"
"ADFD2W18","False","Windows 10 Enterprise"
"PTFD1W18","False","Windows 10 Enterprise"
"BKFD1W18","True","Windows 10 Enterprise"
"CS3FD1W18","True","Windows 10 Enterprise"
"PC334W18","True","Windows 10 Enterprise"
"PC322B3W18","True","Windows 10 Enterprise"
"PC307W18","False","Windows 10 Enterprise"
"PC304W18","True","Windows 10 Enterprise"
"PC322B2W18","True","Windows 10 Enterprise"
"MOSESFD06","False","Windows 7 Enterprise"
"MOSES203B","True","Windows 10 Enterprise"
"CR310W17","False","Windows 10 Enterprise"
"PCROGB034W16","True","Windows 10 Enterprise"
"MR336FW20","False","Windows 10 Enterprise"
"SB920FDW17","True","Windows 10 Enterprise"
"WLFD1W17","True","Windows 10 Enterprise"
"MC203AO","True","Windows 10 Enterprise"
"MC203AQ","True","Windows 10 Enterprise"
"MC215FW20","True","Windows 10 Enterprise"
"MC203AG","True","Windows 10 Enterprise"
"MC203AL","True","Windows 10 Enterprise"
"MC203AA","True","Windows 10 Enterprise"
"MC203AC","True","Windows 10 Enterprise"
"MC203AE","True","Windows 10 Enterprise"
"MC203AN","True","Windows 10 Enterprise"
"MC203AD","True","Windows 10 Enterprise"
"MC203AJ","True","Windows 10 Enterprise"
"MC214BW20","True","Windows 10 Enterprise"
"MC203AK","True","Windows 10 Enterprise"
"MC203AF","True","Windows 10 Enterprise"
"MC215GW20","True","Windows 10 Enterprise"
"MC214AW20","False","Windows 10 Enterprise"
"MC203AR","True","Windows 10 Enterprise"
"MC214DW20","True","Windows 10 Enterprise"
"MC203AB","True","Windows 10 Enterprise"
"MC203AM","True","Windows 10 Enterprise"
"MC203AP","True","Windows 10 Enterprise"
"MC215EW20","True","Windows 10 Enterprise"
"MC203AH","True","Windows 10 Enterprise"
"MC214CW20","True","Windows 10 Enterprise"
"PC322B1W18","True","Windows 10 Enterprise"
"PA1W18","False","Windows 10 Enterprise"
"PA2W18","True","Windows 10 Enterprise"
"PA3W18","True","Windows 10 Enterprise"
"PA4W18","True","Windows 10 Enterprise"
"PA5W18","True","Windows 10 Enterprise"
"PA6W18","True","Windows 10 Enterprise"
"PA7W18","True","Windows 10 Enterprise"
"PA8W18","True","Windows 10 Enterprise"
"PA10W18","True","Windows 10 Enterprise"
"PA9W10","True","Windows 10 Enterprise"
"PA12W18","True","Windows 10 Enterprise"
"PA11W18","True","Windows 10 Enterprise"
"PA15W18","True","Windows 10 Enterprise"
"PA14W18","True","Windows 10 Enterprise"
"RX341PC1W18","False","Windows 10 Enterprise"
"PA13W18","True","Windows 10 Enterprise"
"PC319W18","True","Windows 10 Enterprise"
"PC318W18","True","Windows 10 Enterprise"
"PC322AW18","True","Windows 10 Enterprise"
"PC315W18","True","Windows 10 Enterprise"
"PC326W18","True","Windows 10 Enterprise"
"PC328W18","True","Windows 10 Enterprise"
"PC312W18","True","Windows 10 Enterprise"
"PC324W18","True","Windows 10 Enterprise"
"PC3NS1W18","True","Windows 10 Enterprise"
"PC3NS4W18","True","Windows 10 Enterprise"
"PC3NS2W18","True","Windows 10 Enterprise"
"PC3NS3W18","True","Windows 10 Enterprise"
"PC321W18","True","Windows 10 Enterprise"
"PC320W18","True","Windows 10 Enterprise"
"PC311W18","True","Windows 10 Enterprise"
"PC306W18","True","Windows 10 Enterprise"
"PC307AW18","True","Windows 10 Enterprise"
"PC325W18","True","Windows 10 Enterprise"
"AI347IW19","True","Windows 10 Enterprise"
"MR6W18","True","Windows 10 Enterprise"
"PC457C1W18","True","Windows 10 Enterprise"
"PC457C2W18","True","Windows 10 Enterprise"
"PC457C3W18","True","Windows 10 Enterprise"
"PC457C4W18","True","Windows 10 Enterprise"
"PC457A2W18","True","Windows 10 Enterprise"
"PC457A1W18","True","Windows 10 Enterprise"
"PC457A4W18","True","Windows 10 Enterprise"
"PC457A3W18","True","Windows 10 Enterprise"
"PC459C1W18","True","Windows 10 Enterprise"
"PC459C3W18","True","Windows 10 Enterprise"
"PC459C4W18","True","Windows 10 Enterprise"
"PC459C2W18","True","Windows 10 Enterprise"
"PC459C5W18","True","Windows 10 Enterprise"
"PC468C2W18","True","Windows 10 Enterprise"
"PC468C3W18","True","Windows 10 Enterprise"
"PC468C1W18","True","Windows 10 Enterprise"
"PC468C4W18","True","Windows 10 Enterprise"
"WH427C2W18","True","Windows 10 Enterprise"
"WH427C1W18","True","Windows 10 Enterprise"
"PC4NS2W18","True","Windows 10 Enterprise"
"PC4NS1W18","True","Windows 10 Enterprise"
"PC4NS3W18","True","Windows 10 Enterprise"
"PC4NS4W18","True","Windows 10 Enterprise"
"PC4NS7W18","True","Windows 10 Enterprise"
"PC4NS6W18","True","Windows 10 Enterprise"
"PC4NS8W18","True","Windows 10 Enterprise"
"PC4NS5W18","True","Windows 10 Enterprise"
"WH408W18","True","Windows 10 Enterprise"
"WH407W18","True","Windows 10 Enterprise"
"WH410W18","True","Windows 10 Enterprise"
"WH409W18","True","Windows 10 Enterprise"
"WH418W18","True","Windows 10 Enterprise"
"WH406W18","True","Windows 10 Enterprise"
"PC436W18","True","Windows 10 Enterprise"
"PC430W18","True","Windows 10 Enterprise"
"PC428W18","True","Windows 10 Enterprise"
"WH421W18","True","Windows 10 Enterprise"
